seconds,time,air,beans,air_sp,power,power_sp,speed,coolfan_speed,stirrer_speed,pressure,pressure_fan_speed,pressure_sp,ror,ror_f,computed_air_ror
450,07:30,193.8,168.1,220,85,85,50,61,15616,110,22,110,5.3,95,4.6
451,07:31,194,168.2,220,81,81,50,61,15616,110,22,110,5.3,95,4.4
452,07:32,194.1,168.4,220,81,81,50,61,15616,110,22,110,5.3,95,4.3
453,07:33,194.2,168.6,220,81,81,50,61,15616,109,22,110,5.3,95,4.2
454,07:34,194.4,168.8,220,81,81,50,61,15616,109,22,110,5.3,95,4.2
455,07:35,194.5,168.9,220,81,81,50,61,15616,110,22,110,5.3,95,4.2
456,07:36,194.6,169.1,220,81,81,50,61,15616,110,22,110,5.3,95,4
457,07:37,194.7,169.3,220,81,81,50,61,15616,111,22,110,5.3,95,3.9
458,07:38,194.8,169.4,220,81,81,50,61,15616,113,22,110,5.3,95,3.7
459,07:39,194.9,169.6,220,81,81,50,61,15616,111,22,110,5.1,93,3.5
460,07:40,195,169.8,220,81,81,50,61,15616,109,22,120,5.1,92,3.4
461,07:41,195.2,170,220,81,81,50,61,15616,110,22,120,5.1,92,3.3
462,07:42,195.3,170.1,220,81,81,50,61,15616,110,22,120,5.1,92,3.4
463,07:43,195.4,170.3,220,81,81,50,61,15616,110,22,120,5.1,92,3.5
464,07:44,195.6,170.5,220,81,81,50,61,15616,111,22,120,5.3,95,3.8
465,07:45,195.8,170.7,220,81,81,50,61,15616,112,22,120,5.3,95,4
466,07:46,195.9,170.8,220,81,81,50,61,15616,112,22,120,5.3,96,4.3
467,07:47,196,171,220,81,81,50,61,15616,112,22,120,5.3,96,4.3
468,07:48,196.2,171.3,220,81,81,50,61,15616,112,22,120,5.3,96,4.4
469,07:49,196.3,171.4,220,81,81,50,61,15616,113,23,120,5.3,96,4.4
470,07:50,196.5,171.6,220,81,81,50,61,15616,114,23,120,5.3,96,4.4
471,07:51,196.6,171.8,220,81,81,50,61,15616,114,23,120,5.3,96,4.3
472,07:52,196.7,172,220,81,81,50,61,15616,114,23,120,5.3,96,4.3
473,07:53,196.9,172.1,220,81,81,50,61,15616,115,23,120,5.3,96,4.2
474,07:54,197,172.3,220,81,81,50,61,15616,116,23,120,5.3,96,4.2
475,07:55,197.2,172.5,220,81,81,50,61,15616,116,23,120,5.3,96,4.2
476,07:56,197.3,172.7,220,81,81,50,61,15616,116,23,120,5.3,96,4.2
477,07:57,197.4,172.8,220,81,81,50,61,15616,117,23,120,5.3,96,4.2
478,07:58,197.6,173,220,81,81,50,61,15616,118,23,120,5.3,96,4.2
479,07:59,197.7,173.2,220,81,81,50,61,15616,117,24,120,5.2,94,4.2
480,08:00,197.9,173.3,220,81,81,50,61,15616,118,24,120,5.1,92,4.3
481,08:01,198.1,173.5,220,81,81,50,61,15616,117,24,120,5.1,92,4.4
482,08:02,198.3,173.6,220,81,81,50,61,15616,118,24,120,5.1,92,4.6
483,08:03,198.4,173.8,220,81,81,50,61,15616,118,24,120,5,90,4.8
484,08:04,198.6,174,220,81,81,50,61,15616,119,24,120,5,91,4.9
485,08:05,198.7,174.1,220,81,81,50,61,15616,119,24,120,5.1,92,4.9
486,08:06,198.9,174.4,220,81,81,50,61,15616,119,24,120,5,90,4.8
487,08:07,199,174.6,220,81,81,50,61,15616,120,24,120,5,89,4.6
488,08:08,199.1,174.7,220,81,81,50,61,15616,120,24,120,5.1,92,4.5
489,08:09,199.3,174.9,220,81,81,50,61,15616,120,24,120,5,90,4.4
490,08:10,199.4,175.1,220,81,81,50,61,15616,119,24,120,5,89,4.4
491,08:11,199.6,175.2,220,81,81,50,61,15616,120,24,120,5.1,91,4.4
492,08:12,199.7,175.4,220,81,81,50,61,15616,121,24,120,5,89,4.4
493,08:13,199.8,175.6,220,81,81,50,61,15616,120,24,120,5,89,4.3
494,08:14,200,175.7,220,81,81,50,61,15616,120,24,120,5.1,92,4.3
495,08:15,200.1,175.9,220,81,81,50,61,15616,120,24,120,5,90,4.2
496,08:16,200.3,176,220,81,81,50,61,15616,120,24,120,5,90,4.2
497,08:17,200.4,176.2,220,81,81,50,61,15616,121,24,120,5.1,93,4.1
498,08:18,200.5,176.4,220,81,81,50,61,15616,120,24,120,5.1,92,4.1
499,08:19,200.6,176.5,220,81,81,50,61,15616,120,24,120,5.1,92,4
500,08:20,200.8,176.7,220,81,81,50,61,15616,119,24,120,5.2,94,3.9
501,08:21,200.9,176.9,220,81,81,50,61,15616,118,24,120,5.1,93,3.9
502,08:22,201.1,177.1,220,81,81,50,61,15616,119,24,120,5.1,92,3.9
503,08:23,201.2,177.2,220,81,81,50,61,15616,119,24,120,5.1,92,4
504,08:24,201.3,177.5,220,81,81,50,61,15616,120,24,120,5.1,93,4
505,08:25,201.4,177.6,220,81,81,50,61,15616,120,24,120,5.1,91,4
506,08:26,201.6,177.8,220,81,81,50,61,15616,121,24,120,5.1,92,4
507,08:27,201.7,177.9,220,81,81,50,61,15616,122,24,120,5.1,91,4
508,08:28,201.8,178.1,220,81,81,50,61,15616,121,24,120,5,89,3.9
509,08:29,202,178.3,220,81,81,50,61,15616,120,24,120,4.9,88,3.9
510,08:30,202.1,178.4,220,81,81,50,61,15616,119,24,120,4.9,89,3.8
511,08:31,202.2,178.6,220,81,81,50,61,15616,119,24,120,4.9,88,3.7
512,08:32,202.3,178.7,220,81,81,50,61,15616,121,24,120,4.8,87,3.6
513,08:33,202.4,178.9,220,81,81,50,61,15616,119,24,120,4.9,88,3.5
514,08:34,202.5,179.1,220,81,81,50,61,15616,119,24,120,4.8,87,3.4
515,08:35,202.6,179.2,220,81,81,50,61,15616,120,24,120,4.9,88,3.3
516,08:36,202.7,179.4,220,81,81,50,61,15616,121,24,120,4.8,87,3.3
517,08:37,202.9,179.6,220,81,81,50,61,15616,121,24,120,4.9,89,3.3
518,08:38,202.9,179.7,220,81,81,50,61,15616,120,24,120,4.8,87,3.3
519,08:39,203.1,179.9,220,81,81,50,61,15616,119,24,120,5,89,3.4
520,08:40,203.1,179.9,220,81,81,50,61,15616,119,24,120,5,89,3.4
521,08:41,203.2,180.1,220,81,81,50,61,15616,120,24,120,5,91,3.4
522,08:42,203.3,180.3,220,81,81,50,61,15616,120,24,120,5.1,93,3.4
523,08:43,203.4,180.5,220,81,81,50,61,15616,120,24,120,5,90,3.4
524,08:44,203.6,180.6,220,81,81,50,61,15616,121,24,120,5.2,93,3.5
525,08:45,203.7,180.8,220,81,81,50,61,15616,121,24,120,5.2,93,3.6
526,08:46,203.8,181,220,81,81,50,61,15616,120,24,120,5,90,3.8
527,08:47,204,181.1,220,81,81,50,61,15616,120,24,120,5,90,4
528,08:48,204.2,181.3,220,81,81,50,61,15616,119,24,120,5,90,4.2
529,08:49,204.3,181.4,220,81,81,50,61,15616,120,24,120,5,90,4.4
530,08:50,204.5,181.6,220,81,81,50,61,15616,120,24,120,4.9,89,4.5
531,08:51,204.6,181.8,220,81,81,50,61,15616,120,24,120,5,90,4.6
532,08:52,204.8,182,220,81,81,50,61,15616,120,24,120,5.2,93,4.6
533,08:53,204.9,182.2,220,81,81,50,61,15616,120,24,120,5.2,94,4.6
534,08:54,205.1,182.3,220,81,81,50,61,15616,120,24,120,5.3,95,4.7
535,08:55,205.3,182.5,220,81,81,50,61,15616,120,24,120,5.4,97,4.7
536,08:56,205.5,182.7,220,81,81,50,61,15616,119,24,120,5.4,97,5
537,08:57,205.6,182.9,220,81,81,50,61,15616,117,24,120,5.4,97,5.1
538,08:58,205.8,183,220,81,81,50,61,15616,118,25,120,5.4,97,5.3
539,08:59,206,183.3,220,81,81,50,61,15616,118,25,120,5.4,97,5.3
540,09:00,206.2,183.5,220,81,81,50,61,15616,118,25,120,5.4,97,5.4
541,09:01,206.3,183.6,220,81,81,50,61,15616,118,25,120,5.4,97,5.3
542,09:02,206.5,183.8,220,71,71,50,61,15616,119,25,120,5.4,97,5.3
543,09:03,206.7,184,220,71,71,50,61,15616,120,25,120,5.4,97,5.3
544,09:04,206.9,184.2,220,71,71,50,61,15616,120,25,120,5.4,97,5.3
545,09:05,207.1,184.3,220,71,71,50,61,15616,120,25,120,5.3,95,5.3
546,09:06,207.2,184.5,220,71,71,50,61,15616,121,25,120,5.2,93,5.3
547,09:07,207.4,184.7,220,71,71,50,61,15616,119,25,120,5.2,94,5.3
548,09:08,207.6,184.9,220,71,71,50,61,15616,119,25,120,5.2,93,5.2
549,09:09,207.7,185.1,220,71,71,50,61,15616,119,25,120,5.4,97,5.1
550,09:10,207.9,185.2,220,71,71,50,61,15616,120,25,120,5.5,99,5
551,09:11,208,185.4,220,71,71,50,61,15616,121,25,120,5.6,101,4.8
552,09:12,208.2,185.6,220,71,71,50,61,15616,120,25,120,5.7,103,4.7
553,09:13,208.3,185.8,220,71,71,50,61,15616,119,25,120,5.7,103,4.6
554,09:14,208.4,186,220,71,71,50,61,15616,119,25,120,5.7,103,4.5
555,09:15,208.6,186.2,220,71,71,50,61,15616,121,25,120,5.7,103,4.5
556,09:16,208.8,186.4,220,71,71,50,61,15616,121,25,120,5.7,102,4.6
557,09:17,208.9,186.5,220,71,71,50,61,15616,120,25,120,5.5,100,4.6
558,09:18,209.1,186.7,220,71,71,50,61,15616,120,25,120,5.7,102,4.6
559,09:19,209.2,187,220,71,71,50,61,15616,122,25,120,5.5,100,4.6
560,09:20,209.3,187.2,220,71,71,50,61,15616,120,25,120,5.5,100,4.4
561,09:21,209.5,187.3,220,71,71,50,61,15616,120,25,120,5.5,100,4.3
562,09:22,209.6,187.5,220,71,71,50,61,15616,120,25,120,5.5,100,4.2
563,09:23,209.7,187.7,220,71,71,50,61,15616,120,25,120,5.4,97,4.1
564,09:24,209.9,187.9,220,71,71,50,61,15616,118,25,120,5.4,97,4.1
565,09:25,210,188.1,220,71,71,50,61,15616,119,25,120,5.4,97,4.1
566,09:26,210.2,188.2,220,71,71,50,61,15616,119,25,120,5.5,99,4.1
567,09:27,210.3,188.4,230,71,71,50,61,15616,120,25,120,5.5,100,4.1
568,09:28,210.5,188.6,230,71,71,50,61,15616,120,25,120,5.6,100,4.2
569,09:29,210.6,188.8,230,71,71,50,61,15616,120,25,120,5.6,100,4.2
570,09:30,210.7,189,230,71,71,50,61,15616,119,25,120,5.5,100,4.2
571,09:31,210.8,189.2,230,71,71,50,61,15616,121,25,120,5.5,100,4.1
572,09:32,211,189.3,230,71,71,50,61,15616,121,25,120,5.6,100,4.1
573,09:33,211.1,189.5,230,71,71,50,61,15616,120,25,120,5.5,100,4
574,09:34,211.3,189.7,230,71,71,50,61,15616,120,25,130,5.5,100,4
575,09:35,211.4,189.9,230,71,71,50,61,15616,119,25,130,5.6,100,4.2
576,09:36,211.6,190,230,71,71,50,61,15616,119,25,130,5.4,97,4.3
577,09:37,211.7,190.2,230,71,71,50,61,15616,121,25,130,5.4,97,4.4
578,09:38,211.9,190.5,230,71,71,50,61,15616,122,25,130,5.4,96,4.4
579,09:39,212,190.7,230,71,71,50,61,15616,121,25,130,5.5,99,4.3
580,09:40,212.1,190.9,230,71,71,50,61,15616,121,26,130,5.5,99,4.2
581,09:41,212.2,191,230,71,71,50,61,15616,121,26,130,5.6,101,3.9
582,09:42,212.3,191.2,230,71,71,50,61,15616,121,26,130,5.7,102,3.7
583,09:43,212.4,191.4,230,71,71,50,61,15616,123,26,130,5.8,104,3.4
584,09:44,212.5,191.6,230,71,71,50,61,15616,122,26,130,5.7,102,3.3
585,09:45,212.6,191.8,230,71,71,50,61,15616,123,26,130,5.7,103,3.1
586,09:46,212.7,192,230,71,71,50,61,15616,124,26,130,5.7,103,3.1
587,09:47,212.8,192.2,230,71,71,50,61,15616,125,26,130,5.7,103,3.1
588,09:48,212.9,192.4,230,71,71,50,61,15616,125,26,130,5.7,103,3.1
589,09:49,213,192.6,230,71,71,50,61,15616,125,26,130,5.8,104,3.1
590,09:50,213.1,192.7,230,71,71,50,61,15616,126,27,130,5.8,104,3.1
591,09:51,213.2,192.9,230,71,71,50,61,15616,127,27,130,5.7,102,3
592,09:52,213.3,193.1,230,71,71,50,61,15616,128,27,130,5.6,101,3.1
593,09:53,213.5,193.3,230,71,71,50,61,15616,126,27,130,5.6,100,3.1
594,09:54,213.5,193.5,230,71,71,50,61,15616,127,27,130,5.5,100,3.2
595,09:55,213.7,193.7,230,71,71,50,61,15616,128,27,130,5.5,99,3.3
596,09:56,213.8,193.9,230,71,71,50,61,15616,128,27,130,5.5,99,3.3
597,09:57,213.9,194.1,230,71,71,50,61,15616,129,27,130,5.6,100,3.3
598,09:58,214,194.3,230,71,71,50,61,15616,129,27,130,5.6,101,3.2
599,09:59,214.1,194.4,230,71,71,50,61,15616,128,27,130,5.5,99,3.3
600,10:00,214.2,194.6,230,71,71,50,61,15616,129,28,130,5.5,99,3.3
601,10:01,214.3,194.8,230,61,61,50,61,15616,128,28,130,5.5,99,3.4
602,10:02,214.5,195,230,61,61,50,61,15616,130,28,130,5.4,97,3.5
603,10:03,214.6,195.1,230,61,61,50,61,15616,131,28,130,5.3,95,3.6
604,10:04,214.7,195.3,230,61,61,50,61,15616,131,28,130,5.3,96,3.6
605,10:05,214.8,195.5,230,61,61,50,61,15616,131,28,130,5.3,96,3.7
606,10:06,215,195.7,230,61,61,50,61,15616,131,27,130,5.5,99,3.7
607,10:07,215.1,195.9,230,61,61,50,61,15616,130,27,130,5.5,99,3.7
608,10:08,215.2,196,230,61,61,50,61,15616,129,27,130,5.5,99,3.6
609,10:09,215.3,196.2,230,61,61,50,61,15616,128,28,130,5.5,99,3.5
610,10:10,215.4,196.4,230,61,61,50,61,15616,129,28,130,5.6,101,3.5
611,10:11,215.6,196.6,230,61,61,50,61,15616,129,28,130,5.5,99,3.5
612,10:12,215.7,196.8,230,61,61,50,61,15616,131,28,130,5.5,99,3.6
613,10:13,215.8,197,230,61,61,50,61,15616,130,28,130,5.6,102,3.7
614,10:14,215.9,197.2,230,61,61,50,61,15616,131,28,130,5.7,102,3.7
615,10:15,216,197.4,230,61,61,50,61,15616,131,28,130,5.6,101,3.6
616,10:16,216.1,197.6,230,61,61,50,61,15616,130,28,130,5.7,102,3.4
617,10:17,216.2,197.8,230,61,61,50,61,15616,130,28,130,5.7,102,3.3
618,10:18,216.3,197.9,230,61,61,50,61,15616,129,28,130,5.5,99,3.3
619,10:19,216.4,198.1,230,61,61,50,61,15616,129,28,130,5.5,99,3.3
620,10:20,216.5,198.3,230,61,61,50,61,15616,129,28,130,5.4,97,3.3
621,10:21,216.7,198.5,230,61,61,50,61,15616,130,28,130,5.3,96,3.3
622,10:22,216.7,198.7,230,61,61,50,61,15616,130,28,130,5.4,98,3.2
623,10:23,216.8,198.9,230,61,61,50,61,15616,130,28,130,5.5,99,3.1
624,10:24,216.9,199,250,61,61,50,61,15616,131,28,130,5.5,99,3
625,10:25,217,199.2,250,61,61,50,61,15616,131,28,130,5.5,99,2.9
626,10:26,217,199.2,250,61,61,50,61,15616,131,28,130,5.5,99,2.9
627,10:27,217.1,199.4,250,61,61,50,61,15616,130,28,130,5.5,99,2.8
628,10:28,217.2,199.6,250,61,61,50,61,15616,130,28,130,5.4,97,2.8
629,10:29,217.3,199.8,250,61,61,50,61,15616,130,28,130,5.5,99,2.8
630,10:30,217.4,200,250,61,61,50,61,15616,130,28,130,5.5,99,2.8
631,10:31,217.5,200.2,250,61,61,50,61,15616,131,28,140,5.5,99,2.7
632,10:32,217.5,200.3,250,51,51,50,61,15616,128,28,140,5.5,99,2.6
633,10:33,217.6,200.5,250,51,51,50,61,15616,130,28,140,5.5,99,2.5
634,10:34,217.7,200.7,250,51,51,50,61,15616,131,28,140,5.3,96,2.4
635,10:35,217.8,200.8,250,51,51,50,61,15616,131,28,140,5.4,96,2.4
636,10:36,217.8,201,250,51,51,50,61,15616,131,28,140,5.3,96,2.4
637,10:37,217.9,201.2,250,51,51,50,61,15616,130,28,140,5.2,93,2.4
638,10:38,218,201.4,250,51,51,50,61,15616,131,28,140,5.2,93,2.3
639,10:39,218.1,201.5,250,51,51,50,61,15616,131,28,140,5.1,92,2.3
640,10:40,218.1,201.7,250,51,51,50,61,15616,133,29,140,4.9,88,2.2
641,10:41,218.2,201.8,250,51,51,50,61,15616,133,29,140,5,90,2.3
642,10:42,218.3,202,250,51,51,50,61,15616,132,29,140,4.8,87,2.3
643,10:43,218.4,202.2,250,51,51,50,61,15616,134,29,140,4.8,86,2.3
644,10:44,218.5,202.3,250,51,51,50,61,15616,135,29,140,4.8,86,2.3
645,10:45,218.6,202.5,250,51,51,50,61,15616,134,29,140,4.8,87,2.4
646,10:46,218.7,202.6,250,51,51,50,61,15616,135,29,140,4.8,86,2.5
647,10:47,218.8,202.8,250,51,51,50,61,15616,136,29,140,4.8,87,2.6
648,10:48,218.9,202.9,250,51,51,50,61,15616,136,29,140,4.8,87,2.7
649,10:49,218.9,203.2,250,51,51,50,61,15616,136,30,140,4.8,87,2.8
650,10:50,219.1,203.3,250,51,51,50,61,15616,136,30,140,4.8,87,2.9
651,10:51,219.1,203.5,250,51,51,50,61,15616,137,30,140,4.8,86,2.9
652,10:52,219.2,203.6,250,51,51,50,61,15616,137,30,140,4.8,86,2.9
653,10:53,219.4,203.8,250,51,51,50,61,15616,137,30,140,4.8,87,2.9
654,10:54,219.4,204,250,51,51,50,61,15616,137,30,140,4.7,85,3
655,10:55,219.6,204.1,250,51,51,50,61,15616,138,30,140,4.8,86,3
656,10:56,219.7,204.2,250,51,51,50,61,15616,139,30,140,4.8,87,3
657,10:57,219.8,204.4,250,51,51,50,61,15616,139,30,140,4.7,85,3.1
658,10:58,219.9,204.5,250,51,51,50,61,15616,139,30,140,4.7,84,3.1
659,10:59,219.9,204.7,250,51,51,50,61,15616,140,30,140,4.7,84,3.1
660,11:00,220.1,204.8,250,51,51,50,61,15616,140,30,140,4.5,82,3
661,11:01,220.2,205,250,51,51,50,61,15616,141,30,140,4.5,81,3
662,11:02,220.3,205.1,250,51,51,50,61,15616,141,30,140,4.5,81,3
663,11:03,220.4,205.3,250,51,51,50,61,15616,139,30,140,4.4,79,3
664,11:04,220.5,205.4,250,51,51,50,61,15616,140,30,140,4.4,80,3.1
665,11:05,220.6,205.6,250,51,51,50,61,15616,141,30,140,4.4,78,3.3
666,11:06,220.7,205.7,250,51,51,50,61,15616,141,30,140,4.4,78,3.4
667,11:07,220.8,205.9,250,51,51,50,61,15616,140,30,140,4.4,79,3.4
668,11:08,221,206.1,250,51,51,50,61,15616,140,30,140,4.4,79,3.5
669,11:09,221,206.2,250,51,51,50,61,15616,140,30,140,4.5,80,3.4
670,11:10,221.2,206.4,250,51,51,50,61,15616,140,30,140,4.5,82,3.3
671,11:11,221.3,206.5,250,51,51,50,61,15616,140,30,140,4.5,82,3.2
672,11:12,221.4,206.7,250,51,51,50,61,15616,140,30,140,4.5,82,3.2
673,11:13,221.5,206.8,250,51,51,50,61,15616,140,30,140,4.6,83,3.2
674,11:14,221.6,207,250,51,51,50,61,15616,140,30,140,4.5,82,3.3
675,11:15,221.7,207.1,250,51,51,50,61,15616,139,30,140,4.6,82,3.3
676,11:16,221.8,207.3,250,51,51,50,61,15616,140,30,140,4.6,83,3.3
677,11:17,221.9,207.4,250,51,51,50,61,15616,141,19,140,4.7,84,3.3
678,11:18,222.1,207.6,250,51,51,50,61,15616,133,19,140,4.7,84,3.4
